team,label,student,sprint,global_id
t22,good teammate,t22_s03,Sprint 1,g106
t22,good teammate,t22_s02,Sprint 1,g105
t22,good teammate,t22_s01,Sprint 1,g103
t22,good teammate,t22_05,Sprint 1,g126
t22,good teammember,t22_s04,Sprint 1,g122
t22,good teammate,t22_s03,Sprint 1,g106
t22,good teammate,t22_s01,Sprint 1,g103
t22,good teammate,t22_s02,Sprint 1,g105
t22,good teammate,t22_05,Sprint 1,g126
t22,good teammember,t22_s02,Sprint 1,g105
t22,lone wolf,t22_s04,Sprint 1,g122
t22,good teammate,t22_s03,Sprint 1,g106
t22,good teammate,t22_05,Sprint 1,g126
t22,lone wolf,t22_s01,Sprint 1,g103
t22,good teammember,t22_s03,Sprint 1,g106
t22,good teammate,t22_s04,Sprint 1,g122
